10/29/2019 4:39,"b""RT @TheZaiduLeaks: India spend billions on election just to elect Ruler still afterwards there's no surety that they'll rule or not\n\nThey s\xe2\x80\xa6""",283,None,334,326,0.8,4
10/29/2019 4:32,"b""RT @TheZaiduLeaks: India spend billions on election just to elect Ruler still afterwards there's no surety that they'll rule or not\n\nThey s\xe2\x80\xa6""",283,None,668,841,0.8,4
10/29/2019 4:12,"b'RT @imransolanki313: Sale of BPCL Bharat Petroleum is, the BIGGEST SCAM of India\n\n#BPCL real value is 5 lac crore but govt selling it at on\xe2\x80\xa6'",16,BPCL,2,7,0.2,4
10/29/2019 2:35,"b""RT @AmanPradyuman: Pic 1: \xe2\x82\xb910 lakh for muslim family.\n\nPic 2: Not a single penny to Gopal's Family.\n\n#HaryanaAssemblyPolls https://t.co/dro\xe2\x80\xa6""",9,HaryanaAssemblyPolls,197,473,0.03571428571428571,4
10/29/2019 1:56,b'RT @BeingSachinDg: Maharashtra elections is a lesson taught by the public to BJP for inducting Corrupt jokers into the party and giving the\xe2\x80\xa6',8,None,1281,2000,-0.25,0
10/29/2019 1:52,"b""RT @AmanPradyuman: Pic 1: \xe2\x82\xb910 lakh for muslim family.\n\nPic 2: Not a single penny to Gopal's Family.\n\n#HaryanaAssemblyPolls https://t.co/dro\xe2\x80\xa6""",9,HaryanaAssemblyPolls,1751,1382,0.03571428571428571,4
10/29/2019 1:40,b'RT @TruthSpeakso: Item #4 : Brilliantly hilarious and Hilariously brilliant!! \xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\n\n#AssemblyElections2019 #HaryanaAssemblyPolls https://t.c\xe2\x80\xa6',1,AssemblyElections2019,1910,454,0.7,4
10/29/2019 1:15,"b'RT @imransolanki313: Sale of BPCL Bharat Petroleum is, the BIGGEST SCAM of India\n\n#BPCL real value is 5 lac crore but govt selling it at on\xe2\x80\xa6'",16,BPCL,135,205,0.2,4
10/29/2019 1:05,b'RT @ashutosh83B: Ashutosh - BJP win despite voter wanting them to loose ? \n\nWhy Nationalism failed to get votes for Modi? \n\n#AssemblyElecti\xe2\x80\xa6',69,None,12,81,0.07435897435897439,4
10/28/2019 18:20,"b'RT @DesiPoliticks: Chief Minister of Haryana, Manohar Lal Khattar to his own karyakarta: \n\n""Gardan Kaat Dunga Teri"" \n\nImagine what sort of\xe2\x80\xa6'",283,None,108,498,0.6,4
10/28/2019 18:07,"b'RT @imransolanki313: Sale of BPCL Bharat Petroleum is, the BIGGEST SCAM of India\n\n#BPCL real value is 5 lac crore but govt selling it at on\xe2\x80\xa6'",16,BPCL,119,40,0.2,4
10/28/2019 18:00,b'RT @V__A__Y__U: #HaryanaAssemblyPolls\nDamn @BJP4India environmental plan to arrest hundreds of Hindus on Diwali on halt now.\nPlease arrest\xe2\x80\xa6',1,HaryanaAssemblyPolls,1016,569,-0.05,0
10/28/2019 17:37,b'RT @yessirtns: Great to see that BJP &amp; JJP have joined hands to form the GOVT in Haryana...\n\nThe CHIEF MINISTER will be :\n\nDUSHYANT KHATTAR\xe2\x80\xa6',33,None,71,154,0.8,4
10/28/2019 16:50,b'RT @stupedousam: @ArvindKejriwal No no... congratulations to Ahankari Arvind party for fantastic results in #MaharashtraAssemblyPolls &amp; #Ha\xe2\x80\xa6',2,MaharashtraAssemblyPolls,82,272,0.4,4
10/28/2019 16:48,b'RT @stupedousam: @ArvindKejriwal No no... congratulations to Ahankari Arvind party for fantastic results in #MaharashtraAssemblyPolls &amp; #Ha\xe2\x80\xa6',2,MaharashtraAssemblyPolls,3666,2383,0.4,4
10/28/2019 16:36,b'@ArvindKejriwal No no... congratulations to Ahankari Arvind party for fantastic results in\xe2\x80\xa6 https://t.co/4ws8Kzc40o',2,None,19,512,0.4,4
10/28/2019 15:27,b'RT @bkrs100: Chautala betrays the mandate of the people.\n\nI hope people of this country are watching the double standards of this young lea\xe2\x80\xa6',15,None,133,285,0.05,4
10/28/2019 15:18,b'RT @indiaonthe_move: @Priyascorner The power struggle within the Congress is a lot more vexed than it seems.  And after the #MaharashtraAss\xe2\x80\xa6',5,None,2301,1947,0.5,4
10/28/2019 15:13,"b""RT @latestly: 'BJP Failing Women of India by Taking Gopal Kanda's Support in Haryana': Sushmita Dev Writes Letter to Amit Shah | Read full\xe2\x80\xa6""",20,None,133,285,0.425,4
10/28/2019 15:08,b'RT @indiaonthe_move: @Priyascorner The power struggle within the Congress is a lot more vexed than it seems.  And after the #MaharashtraAss\xe2\x80\xa6',5,None,42418,45787,0.5,4
10/28/2019 15:06,"b""RT @latestly: 'BJP Failing Women of India by Taking Gopal Kanda's Support in Haryana': Sushmita Dev Writes Letter to Amit Shah | Read full\xe2\x80\xa6""",20,None,2430,89,0.425,4
10/28/2019 15:01,b'Sure \nSS cannt be accepting Dpt. CM  as now one from house is in suffering punishable offences in any of the jails\xe2\x80\xa6 https://t.co/FII2JoAHUs',0,None,51,168,0.5,4
10/28/2019 14:45,b'RT @indiaonthe_move: @Priyascorner The power struggle within the Congress is a lot more vexed than it seems.  And after the #MaharashtraAss\xe2\x80\xa6',5,None,385,499,0.5,4
10/28/2019 14:41,b'RT @indiaonthe_move: @Priyascorner The power struggle within the Congress is a lot more vexed than it seems.  And after the #MaharashtraAss\xe2\x80\xa6',5,None,2525,500,0.5,4
10/28/2019 14:05,b'RT @NgDagreat2: Enjoy this beautiful song below.\nStay blessed xx\xf0\x9f\xa5\xb0\nhttps://t.co/50U3bomOZN\n\n#justiceforjemima \n#MercyXDencia \n#RipHHP \n#Just\xe2\x80\xa6',1,justiceforjemima,44,47,0.625,4
10/28/2019 14:04,b'RT @NgDAGREAT3: Enjoy this beautiful song below.\nStay blessed xx\xf0\x9f\xa5\xb0\nhttps://t.co/cOK4rYIbiV\n\n#justiceforjemima \n#MercyXDencia \n#RipHHP \n#Just\xe2\x80\xa6',1,justiceforjemima,19,19,0.625,4
10/28/2019 13:06,b'RT @scroll_in: \xe2\x80\x9cI think it is a clear indication that there is no further slide and we can start reversing the tide.\xe2\x80\x9d\n\n#HaryanaAssemblyPoll\xe2\x80\xa6',1,None,563,223,0.05000000000000001,4
10/28/2019 13:01,b'\xe2\x80\x9cI think it is a clear indication that there is no further slide and we can start reversing the tide.\xe2\x80\x9d\xe2\x80\xa6 https://t.co/WZErJtqJoU',1,None,263457,88,0.05000000000000001,4
10/28/2019 12:02,"b'RT @TehzeebTvIndia: Former Hockey captain and winning candidate from Pehowa, Sandeep Singh, arrives for #BJP legislative party meeting at U\xe2\x80\xa6'",5,BJP,15,16,0.25,4
10/28/2019 11:39,"b'RT @imransolanki313: Sale of BPCL Bharat Petroleum is, the BIGGEST SCAM of India\n\n#BPCL real value is 5 lac crore but govt selling it at on\xe2\x80\xa6'",16,BPCL,1,3,0.2,4
10/28/2019 11:08,"b""Looks to me like Congress could win a few more seats only because RaGa and his ridiculous 'Chowkidar Chor Hai' was\xe2\x80\xa6 https://t.co/3U0B3zUid6""",0,None,108,127,0.15333333333333338,4
